timestamp,open,close,high,low,volume
2020-07-15T11:35:00-04:00,2.400,2.270,2.400,2.270,14414
2020-07-15T11:40:00-04:00,2.300,2.310,2.365,2.280,3431
2020-07-15T11:45:00-04:00,2.290,2.310,2.345,2.280,4364
2020-07-15T11:50:00-04:00,2.320,2.380,2.425,2.320,5546
2020-07-15T11:55:00-04:00,2.370,2.250,2.370,2.245,4500
2020-07-15T12:00:00-04:00,2.330,2.280,2.360,2.280,1600
2020-07-15T12:05:00-04:00,2.300,2.305,2.310,2.300,600
2020-07-15T12:10:00-04:00,2.285,2.190,2.285,2.190,3219
2020-07-15T12:15:00-04:00,2.265,2.265,2.265,2.265,200
2020-07-15T12:20:00-04:00,2.260,2.250,2.260,2.250,706
2020-07-15T12:25:00-04:00,2.220,2.245,2.245,2.220,800
2020-07-15T12:30:00-04:00,2.245,2.300,2.300,2.245,2426
2020-07-15T12:35:00-04:00,2.295,2.300,2.375,2.295,6190
2020-07-15T12:40:00-04:00,2.340,2.415,2.420,2.330,7126
2020-07-15T12:45:00-04:00,2.400,2.440,2.450,2.400,1898
2020-07-15T12:50:00-04:00,2.450,2.380,2.450,2.370,5352
2020-07-15T12:55:00-04:00,2.375,2.370,2.375,2.335,2580
2020-07-15T13:00:00-04:00,2.410,2.420,2.420,2.410,300
2020-07-15T13:05:00-04:00,2.440,2.475,2.550,2.440,15843
2020-07-15T13:10:00-04:00,2.520,2.545,2.545,2.470,3483
2020-07-15T13:15:00-04:00,2.545,2.580,2.615,2.510,5928
2020-07-15T13:20:00-04:00,2.460,2.480,2.515,2.450,7475
2020-07-15T13:25:00-04:00,2.515,2.590,2.640,2.510,17291
2020-07-15T13:30:00-04:00,2.600,2.540,2.650,2.530,8668
2020-07-15T13:35:00-04:00,2.560,2.440,2.560,2.410,21084
2020-07-15T13:40:00-04:00,2.460,2.465,2.520,2.450,8853
2020-07-15T13:45:00-04:00,2.465,2.470,2.510,2.460,2050
2020-07-15T13:50:00-04:00,2.470,2.530,2.530,2.470,2799
2020-07-15T13:55:00-04:00,2.495,2.450,2.500,2.440,6207
2020-07-15T14:00:00-04:00,2.445,2.415,2.460,2.400,5623
2020-07-15T14:05:00-04:00,2.410,2.365,2.410,2.365,6347
2020-07-15T14:10:00-04:00,2.320,2.340,2.390,2.320,9316
2020-07-15T14:15:00-04:00,2.350,2.305,2.370,2.280,3433
2020-07-15T14:20:00-04:00,2.320,2.215,2.320,2.210,3821
2020-07-15T14:25:00-04:00,2.210,2.230,2.240,2.200,4535
2020-07-15T14:30:00-04:00,2.250,2.320,2.320,2.240,4893
2020-07-15T14:35:00-04:00,2.300,2.230,2.300,2.220,1900
2020-07-15T14:40:00-04:00,2.230,2.345,2.370,2.230,8674
